               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.020256,           0.0079767,           0.0099861,             0.99241,             0.99313,               0.995,             0.76756,            0.018286,           0.0045007,            0.002447,           0.0076679,           0.0076679,           0.0076679
                  36,            0.020059,           0.0088717,            0.010759,              0.9853,             0.98275,               0.995,             0.72511,            0.019207,           0.0050132,           0.0024632,            0.007543,            0.007543,            0.007543
                  37,            0.019717,           0.0084885,           0.0089394,              0.9872,             0.98723,             0.99435,             0.73421,             0.01923,           0.0047989,            0.002125,            0.007416,            0.007416,            0.007416
                  38,            0.020075,           0.0087083,            0.010175,             0.98696,             0.98272,               0.995,             0.71569,             0.02005,           0.0046016,           0.0021759,           0.0072872,           0.0072872,           0.0072872
                  39,            0.019436,           0.0082576,           0.0085421,             0.97764,             0.98826,               0.995,             0.72583,            0.019812,           0.0050742,           0.0030872,           0.0071566,           0.0071566,           0.0071566
                  40,            0.019501,           0.0081423,            0.009691,             0.98472,             0.99617,               0.995,             0.75035,             0.01827,           0.0050705,            0.002085,           0.0070243,           0.0070243,           0.0070243
                  41,            0.018555,           0.0080306,           0.0091811,             0.98721,             0.99035,               0.995,             0.74576,              0.0188,           0.0047453,           0.0022541,           0.0068906,           0.0068906,           0.0068906
                  42,            0.018272,           0.0079162,           0.0089186,             0.99763,             0.99697,               0.995,             0.75171,            0.018871,           0.0053035,           0.0012072,           0.0067555,           0.0067555,           0.0067555
                  43,            0.017905,            0.007962,           0.0084593,             0.98868,             0.98813,             0.99476,              0.7431,            0.017996,           0.0051446,           0.0021414,           0.0066191,           0.0066191,           0.0066191
                  44,            0.017862,           0.0075121,           0.0078569,             0.99446,             0.98724,               0.995,             0.77396,            0.017076,           0.0049648,           0.0016703,           0.0064816,           0.0064816,           0.0064816
                  45,            0.018575,           0.0081014,           0.0073854,              0.9903,             0.98257,             0.99476,              0.7489,            0.017197,            0.005268,           0.0031051,           0.0063432,           0.0063432,           0.0063432
                  46,            0.018035,           0.0078728,           0.0087698,             0.99068,             0.98872,              0.9886,             0.73177,            0.018555,              0.0048,           0.0032612,            0.006204,            0.006204,            0.006204
                  47,            0.017366,           0.0080611,           0.0087372,              0.9922,             0.98614,             0.98977,             0.74411,            0.019273,           0.0048833,           0.0030669,            0.006064,            0.006064,            0.006064
                  48,            0.017189,           0.0086838,           0.0086324,             0.98855,             0.98558,             0.98662,              0.7555,            0.017761,           0.0046996,           0.0035314,           0.0059235,           0.0059235,           0.0059235
                  49,            0.016786,           0.0074719,            0.007789,             0.98838,               0.986,             0.99262,             0.74538,            0.018307,           0.0048132,           0.0029071,           0.0057826,           0.0057826,           0.0057826
                  50,            0.016841,             0.00775,           0.0076726,             0.98513,             0.99014,               0.995,             0.69031,            0.019837,           0.0053464,           0.0019132,           0.0056413,           0.0056413,           0.0056413
                  51,             0.01672,           0.0080211,           0.0086707,             0.98367,             0.98531,              0.9933,             0.78394,            0.016488,           0.0043575,           0.0025059,              0.0055,              0.0055,              0.0055
                  52,            0.016161,           0.0073392,           0.0078976,             0.99157,               0.995,             0.98849,             0.72133,            0.019211,            0.005345,           0.0025847,           0.0053587,           0.0053587,           0.0053587
                  53,            0.015957,           0.0077228,           0.0088007,             0.99701,             0.99146,               0.995,             0.77249,            0.017725,            0.004876,           0.0014598,           0.0052174,           0.0052174,           0.0052174
                  54,            0.015478,           0.0072207,           0.0083191,              0.9969,             0.99667,               0.995,             0.76038,            0.017841,           0.0048783,           0.0012124,           0.0050765,           0.0050765,           0.0050765
                  55,            0.015829,           0.0073079,           0.0079543,             0.98656,             0.98518,             0.99286,             0.76625,            0.017202,           0.0050697,           0.0026407,            0.004936,            0.004936,            0.004936
                  56,            0.016328,           0.0079541,            0.009015,             0.99178,             0.99541,               0.995,             0.74481,             0.01744,           0.0047697,           0.0018087,            0.004796,            0.004796,            0.004796
                  57,            0.015485,           0.0073018,           0.0075172,             0.97932,             0.97617,             0.98846,             0.76132,            0.017353,           0.0047077,            0.004318,           0.0046568,           0.0046568,           0.0046568
                  58,            0.015485,           0.0073691,           0.0065279,             0.99002,             0.99499,             0.99119,             0.73596,            0.018064,           0.0054328,           0.0029201,           0.0045184,           0.0045184,           0.0045184
