               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022281,           0.0094778,            0.010645,             0.97204,             0.99627,             0.99452,             0.72605,            0.023049,           0.0051188,           0.0032384,           0.0076679,           0.0076679,           0.0076679
                  36,            0.021264,           0.0087958,            0.011049,              0.9652,             0.98071,             0.99085,             0.68036,            0.025674,           0.0055466,           0.0038585,            0.007543,            0.007543,            0.007543
                  37,            0.020676,            0.009105,           0.0095423,             0.98257,             0.97885,             0.99363,             0.71209,            0.023237,           0.0056602,           0.0029159,            0.007416,            0.007416,            0.007416
                  38,            0.021489,           0.0091361,            0.010211,             0.98003,             0.99119,               0.995,             0.71768,            0.023385,           0.0050975,           0.0023803,           0.0072872,           0.0072872,           0.0072872
                  39,            0.021332,           0.0093158,            0.011124,             0.98145,              0.9895,               0.995,              0.7665,            0.021935,           0.0053511,           0.0026661,           0.0071566,           0.0071566,           0.0071566
                  40,            0.021787,           0.0090313,           0.0097035,             0.98759,             0.98705,             0.99393,              0.6908,            0.024602,           0.0054271,           0.0027836,           0.0070243,           0.0070243,           0.0070243
                  41,            0.020571,           0.0093243,           0.0094468,             0.98199,             0.98393,               0.995,             0.69224,            0.022582,           0.0052636,           0.0027799,           0.0068906,           0.0068906,           0.0068906
                  42,            0.020261,           0.0082907,           0.0099966,             0.99527,              0.9855,               0.995,             0.69859,            0.023376,            0.005464,           0.0020954,           0.0067555,           0.0067555,           0.0067555
                  43,            0.019396,           0.0077262,           0.0096395,             0.99123,             0.99368,               0.995,              0.7746,            0.019144,           0.0050774,           0.0018824,           0.0066191,           0.0066191,           0.0066191
                  44,            0.020104,            0.009316,           0.0091157,             0.99019,             0.98338,             0.99476,             0.76233,            0.019831,           0.0047787,            0.002052,           0.0064816,           0.0064816,           0.0064816
                  45,            0.020595,           0.0082464,           0.0095512,             0.99161,             0.98851,               0.995,             0.71383,            0.021999,            0.004992,           0.0016175,           0.0063432,           0.0063432,           0.0063432
                  46,            0.020302,           0.0094418,            0.009332,             0.97383,             0.98236,             0.98917,             0.72856,            0.020719,           0.0050318,           0.0030603,            0.006204,            0.006204,            0.006204
                  47,            0.019082,           0.0088874,           0.0091788,             0.98834,             0.95397,             0.99455,             0.74189,            0.019316,           0.0048474,           0.0025398,            0.006064,            0.006064,            0.006064
                  48,            0.019042,           0.0083644,            0.008896,             0.95391,              0.9517,             0.97924,             0.76802,            0.018297,           0.0046107,           0.0056636,           0.0059235,           0.0059235,           0.0059235
                  49,            0.018397,           0.0087525,           0.0081823,             0.99109,              0.9778,               0.995,             0.74753,            0.019086,           0.0051529,           0.0023979,           0.0057826,           0.0057826,           0.0057826
                  50,             0.01846,           0.0085925,           0.0080721,             0.98961,             0.98704,               0.995,             0.74042,            0.020054,           0.0046554,           0.0020936,           0.0056413,           0.0056413,           0.0056413
                  51,             0.01744,           0.0081513,           0.0080738,             0.99171,             0.98976,               0.995,             0.75644,             0.01986,           0.0049667,           0.0018037,              0.0055,              0.0055,              0.0055
                  52,            0.017755,           0.0076975,           0.0087168,             0.99222,             0.99115,               0.995,             0.71768,            0.023337,           0.0052211,           0.0015407,           0.0053587,           0.0053587,           0.0053587
                  53,            0.017603,           0.0074077,           0.0078506,             0.98484,             0.99499,               0.995,             0.74238,            0.020461,           0.0055372,           0.0017308,           0.0052174,           0.0052174,           0.0052174
                  54,            0.018125,           0.0084091,            0.007964,             0.98701,             0.99201,               0.995,             0.79076,            0.017862,            0.004904,           0.0017864,           0.0050765,           0.0050765,           0.0050765
                  55,            0.017534,           0.0085926,           0.0081802,             0.99099,             0.98844,               0.995,              0.7631,            0.020503,           0.0051455,           0.0016866,            0.004936,            0.004936,            0.004936
                  56,            0.016688,           0.0086114,           0.0073138,             0.98834,             0.99305,              0.9905,              0.7589,            0.020161,           0.0051935,           0.0016517,            0.004796,            0.004796,            0.004796
                  57,            0.016568,           0.0080607,           0.0076537,             0.99605,             0.99553,               0.995,             0.73002,            0.021329,            0.005603,           0.0012147,           0.0046568,           0.0046568,           0.0046568
                  58,            0.016269,            0.006918,            0.007128,             0.99532,              0.9958,               0.995,             0.71192,            0.023039,           0.0053651,           0.0012183,           0.0045184,           0.0045184,           0.0045184
                  59,            0.016018,             0.00694,           0.0074177,             0.97937,             0.98587,             0.99226,             0.74043,            0.019727,           0.0048873,           0.0023382,           0.0043809,           0.0043809,           0.0043809
                  60,            0.016196,           0.0074314,           0.0077427,             0.97369,             0.99163,              0.9895,             0.74108,            0.020047,           0.0049164,           0.0020826,           0.0042445,           0.0042445,           0.0042445
                  61,            0.015323,           0.0066394,            0.007212,              0.9904,             0.99261,               0.995,              0.7408,            0.021456,            0.005439,           0.0013902,           0.0041094,           0.0041094,           0.0041094
                  62,            0.015659,           0.0068934,           0.0063427,             0.99416,             0.99563,               0.995,             0.74014,            0.020257,           0.0051622,           0.0010408,           0.0039757,           0.0039757,           0.0039757
                  63,            0.016272,           0.0083886,           0.0067618,              0.9906,             0.99688,               0.995,             0.76493,            0.019844,           0.0050221,           0.0011846,           0.0038434,           0.0038434,           0.0038434
                  64,            0.015036,            0.007914,           0.0075134,             0.99613,             0.99848,               0.995,             0.71534,            0.022136,           0.0056337,          0.00091313,           0.0037128,           0.0037128,           0.0037128
                  65,            0.015153,           0.0063375,           0.0076083,             0.98784,             0.98239,             0.99268,             0.74452,            0.020727,           0.0051904,           0.0031551,            0.003584,            0.003584,            0.003584
                  66,            0.015768,           0.0086228,           0.0068807,             0.98999,              0.9822,             0.99455,             0.78111,            0.019145,           0.0052501,           0.0014915,            0.003457,            0.003457,            0.003457
                  67,            0.014991,           0.0074998,           0.0074911,             0.97198,             0.99729,             0.99476,             0.76358,            0.019254,           0.0046549,           0.0019841,           0.0033321,           0.0033321,           0.0033321
                  68,             0.01515,            0.007813,           0.0070346,             0.99483,             0.99235,               0.995,              0.7524,            0.020714,           0.0050921,           0.0012596,           0.0032093,           0.0032093,           0.0032093
                  69,            0.015001,           0.0074426,           0.0064016,             0.99031,               0.995,             0.99476,             0.74027,            0.020951,           0.0055058,            0.001049,           0.0030888,           0.0030888,           0.0030888
                  70,             0.01423,           0.0064484,           0.0063479,              0.9861,               0.995,             0.99476,              0.7315,            0.021423,           0.0052246,           0.0011129,           0.0029706,           0.0029706,           0.0029706
